                                          MasterPlex QT Report By Analyte
    Report Date: 12/9/2005                                                   Run Date: Virtual Plate
    Report Time: 1:06:54 PM                                                  Run Time: Virtual Plate
    Data File: Virtual Plate                                                 Hardware Serial No. : Virtual Plate
    Plate Name: 2005April13 Xenon cyto.mlx                                   Operator: Virtual Plate
    MasterPlex QT Version: 2.0.7.103                                         Analyst: 
                                                                                                      Background:
                                                Analyte Name: GMCSF                              136.333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        F6             <unnamed> (17031)                       53                   <4.8828          pg/mL      91
        G6             <unnamed> (17032)                       68                   <4.8828          pg/mL      68
        H6             <unnamed> (17033)                       63                   <4.8828          pg/mL     174
        A7             <unnamed> (17034)                       75                      2.99          pg/mL     166
        B7             <unnamed> (17035)                       62                   <4.8828          pg/mL     132
        C7             <unnamed> (17036)                     58.5                   <4.8828          pg/mL      86
        D7             <unnamed> (17037)                       60                   <4.8828          pg/mL     101
        E7             <unnamed> (17038)                     67.5                   <4.8828          pg/mL      94
        F7             <unnamed> (17039)                       91                     19.02          pg/mL      61
        G7             <unnamed> (17040)                       78                      6.68          pg/mL      77
        H7             <unnamed> (17041)                       70                   <4.8828          pg/mL      80
        A8             <unnamed> (17042)                     72.5                   <4.8828          pg/mL     134
        B8             <unnamed> (17043)                     62.5                   <4.8828          pg/mL      74
        C8             <unnamed> (17044)                     54.5                   <4.8828          pg/mL      76
        D8             <unnamed> (17045)                       59                   <4.8828          pg/mL      84
        E8             <unnamed> (17046)                       64                   <4.8828          pg/mL      76
        F8             <unnamed> (17047)                       67                   <4.8828          pg/mL      76
        G8             <unnamed> (17048)                       58                   <4.8828          pg/mL     127
        H8             <unnamed> (17049)                       42                   <4.8828          pg/mL     110
        A9             <unnamed> (17050)                       84                     12.78          pg/mL      82
        B9             <unnamed> (17051)                       52                   <4.8828          pg/mL      82
        C9             <unnamed> (17052)                     55.5                   <4.8828          pg/mL      76
        D9             <unnamed> (17053)                       64                   <4.8828          pg/mL     142
        E9             <unnamed> (17054)                       66                   <4.8828          pg/mL     120
        F9             <unnamed> (17055)                       63                   <4.8828          pg/mL      89
        G9             <unnamed> (17056)                       49                   <4.8828          pg/mL     154
        H9             <unnamed> (17057)                       65                   <4.8828          pg/mL      64
        A10            <unnamed> (17058)                       81                      9.86          pg/mL      31
        B10            <unnamed> (17059)                       43                   <4.8828          pg/mL      48
        C10            <unnamed> (17060)                       77                      5.53          pg/mL      81
        D10            <unnamed> (17061)                       51                   <4.8828          pg/mL      55
        E10            <unnamed> (17062)                       49                   <4.8828          pg/mL      99
        F10            <unnamed> (17063)                       49                   <4.8828          pg/mL      35
        G10            <unnamed> (17064)                       61                   <4.8828          pg/mL       7
        H10            <unnamed> (17065)                     78.5                      7.23          pg/mL      14
        A11            <unnamed> (17066)                       43                   <4.8828          pg/mL     157
        B11            <unnamed> (17067)                       39                   <4.8828          pg/mL     223
        C11            <unnamed> (17068)                       37                   <4.8828          pg/mL     209
        D11            <unnamed> (17069)                       54                   <4.8828          pg/mL     153
     Virtual Plate                                 Page - 22 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        E11            <unnamed> (17070)                       39                   <4.8828          pg/mL     147
        F11            <unnamed> (17071)                       44                   <4.8828          pg/mL      39
        G11            <unnamed> (17072)                       32                   <4.8828          pg/mL     199
        H11            <unnamed> (17073)                     44.5                   <4.8828          pg/mL     174
        A12            <unnamed> (17074)                     82.5                     11.34          pg/mL      62
        B12            <unnamed> (17075)                       35                   <4.8828          pg/mL     186
        C12            <unnamed> (17076)                     51.5                   <4.8828          pg/mL      34
        D12            <unnamed> (17077)                       61                   <4.8828          pg/mL      77
        E12            <unnamed> (17078)                       43                   <4.8828          pg/mL      60
        F12            <unnamed> (17079)                       35                   <4.8828          pg/mL     175
        G12            <unnamed> (17080)                       32                   <4.8828          pg/mL      81
        H12            <unnamed> (17081)                       32                   <4.8828          pg/mL     153
        A13            <unnamed> (17082)                       45                   <4.8828          pg/mL     194
        B13            <unnamed> (17083)                       34                   <4.8828          pg/mL     171
        C13            <unnamed> (17084)                       60                   <4.8828          pg/mL      65
        D13            <unnamed> (17085)                       41                   <4.8828          pg/mL     173
        E13            <unnamed> (17086)                       40                   <4.8828          pg/mL     113
        F13            <unnamed> (17087)                     32.5                   <4.8828          pg/mL     126
        G13            <unnamed> (17088)                       42                   <4.8828          pg/mL     162
        H13            <unnamed> (17089)                       31                   <4.8828          pg/mL     188
        A14            <unnamed> (17090)                       34                   <4.8828          pg/mL     174
        B14            <unnamed> (17091)                     28.5                   <4.8828          pg/mL      58
        C14            <unnamed> (17092)                       38                   <4.8828          pg/mL     194
        D14            <unnamed> (17093)                       33                   <4.8828          pg/mL     129
        E14            <unnamed> (17094)                       26                   <4.8828          pg/mL     177
        F14            <unnamed> (17095)                     36.5                   <4.8828          pg/mL     186
        G14            <unnamed> (17096)                       30                   <4.8828          pg/mL     112
        H14            <unnamed> (17097)                       41                   <4.8828          pg/mL     165
        A15            <unnamed> (17098)                       42                   <4.8828          pg/mL     129
        B15            <unnamed> (17099)                       48                   <4.8828          pg/mL      85
        C15            <unnamed> (17100)                     34.5                   <4.8828          pg/mL     178
        D15            <unnamed> (17101)                     42.5                   <4.8828          pg/mL      66
        E15            <unnamed> (17102)                     45.5                   <4.8828          pg/mL      74
        F15            <unnamed> (17103)                       39                   <4.8828          pg/mL     113
        G15            <unnamed> (17104)                       36                   <4.8828          pg/mL      72
        H15            <unnamed> (17105)                       52                   <4.8828          pg/mL      96
        A16            <unnamed> (17106)                       64                   <4.8828          pg/mL     131
        B16            <unnamed> (17107)                       34                   <4.8828          pg/mL     113
        C16            <unnamed> (17108)                       37                   <4.8828          pg/mL      85
        D16            <unnamed> (17109)                       34                   <4.8828          pg/mL     177
        E16            <unnamed> (17110)                       26                   <4.8828          pg/mL      79
        F16            <unnamed> (17111)                     72.5                   <4.8828          pg/mL      66
        G16            <unnamed> (17112)                       38                   <4.8828          pg/mL     123
        H16            <unnamed> (17113)                       38                   <4.8828          pg/mL      63
        A17            <unnamed> (17114)                       46                   <4.8828          pg/mL     229
        B17            <unnamed> (17115)                       41                   <4.8828          pg/mL     100
        C17            <unnamed> (17116)                       50                   <4.8828          pg/mL      55
        D17            <unnamed> (17117)                       48                   <4.8828          pg/mL     186
     Virtual Plate                                 Page - 23 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        E17            <unnamed> (17118)                       39                   <4.8828          pg/mL     105
        F17            <unnamed> (17119)                       41                   <4.8828          pg/mL     247
        G17            <unnamed> (17120)                       39                   <4.8828          pg/mL     118
        H17            <unnamed> (17121)                       41                   <4.8828          pg/mL     176
                                                  Analyte Name: IL-2                               Background: 12
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                     5652                  16205.14          pg/mL      78
        B1             <unnamed> (16990)                   3301.5                   5049.27          pg/mL      70
        C1             <unnamed> (16991)                   1288.5                   1219.56          pg/mL      58
        D1             <unnamed> (16992)                      321                    261.83          pg/mL      72
        E1             <unnamed> (16993)                       73                     64.37          pg/mL      77
        F1             <unnamed> (16994)                       25                     19.93          pg/mL      72
        G1             <unnamed> (16995)                       16                      8.65          pg/mL      62
        H1             <unnamed> (16996)                       10                   <4.8828          pg/mL      70
        A2             <unnamed> (16997)                   6577.5                  24829.20          pg/mL      60
        B2             <unnamed> (16998)                     3045                   4367.85          pg/mL      74
        C2             <unnamed> (16999)                   1439.5                   1408.61          pg/mL      58
        D2             <unnamed> (17000)                      362                    295.08          pg/mL      60
        E2             <unnamed> (17001)                     92.5                     80.53          pg/mL      58
        F2             <unnamed> (17002)                       33                     28.35          pg/mL      70
        G2             <unnamed> (17003)                     17.5                     10.80          pg/mL      58
        H2             <unnamed> (17004)                       15                      7.10          pg/mL      73
        A3             <unnamed> (17005)                     6099                  19922.04          pg/mL      74
        B3             <unnamed> (17006)                   3462.5                   5515.00          pg/mL      56
        C3             <unnamed> (17007)                     1296                   1228.66          pg/mL      69
        D3             <unnamed> (17008)                      384                    313.12          pg/mL      77
        E3             <unnamed> (17009)                     83.5                     73.13          pg/mL      68
        F3             <unnamed> (17010)                       26                     21.03          pg/mL      56
        G3             <unnamed> (17011)                       18                     11.48          pg/mL      66
        H3             <unnamed> (17012)                       11                   <4.8828          pg/mL      62
        A4             <unnamed> (17013)                       37                      0.00          pg/mL      67
        B4             <unnamed> (17014)                       29                      0.00          pg/mL      81
        C4             <unnamed> (17015)                       15                      0.00          pg/mL      55
        D4             <unnamed> (17016)                       15                      0.00          pg/mL      61
        E4             <unnamed> (17017)                      418                    341.29          pg/mL      50
        F4             <unnamed> (17018)                      447                    365.60          pg/mL      59
        G4             <unnamed> (17019)                      364                    296.72          pg/mL      51
        H4             <unnamed> (17020)                      443                    362.23          pg/mL      81
        A5             <unnamed> (17021)                     2199                   2566.64          pg/mL      51
        B5             <unnamed> (17022)                     2101                   2395.73          pg/mL      78
        C5             <unnamed> (17023)                     2247                   2652.92          pg/mL      69
        D5             <unnamed> (17024)                     2348                   2840.16          pg/mL      57
        E5             <unnamed> (17025)                       11                   <4.8828          pg/mL      50
        A6             <unnamed> (17026)                       12                   <4.8828          pg/mL      69
        B6             <unnamed> (17027)                       37                    161.46          pg/mL      50
     Virtual Plate                                 Page - 24 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        C6             <unnamed> (17028)                       22                     82.48          pg/mL      62
        D6             <unnamed> (17029)                      509                   2092.58          pg/mL      69
        E6             <unnamed> (17030)                       20                     70.34          pg/mL      22
        F6             <unnamed> (17031)                        9                   <4.8828          pg/mL      45
        G6             <unnamed> (17032)                       27                    110.60          pg/mL      67
        H6             <unnamed> (17033)                       11                   <4.8828          pg/mL      50
        A7             <unnamed> (17034)                       13                     16.89          pg/mL      50
        B7             <unnamed> (17035)                      9.5                   <4.8828          pg/mL      50
        C7             <unnamed> (17036)                     11.5                   <4.8828          pg/mL      50
        D7             <unnamed> (17037)                       13                     16.89          pg/mL      50
        E7             <unnamed> (17038)                       21                     76.49          pg/mL      50
        F7             <unnamed> (17039)                       13                     16.89          pg/mL      50
        G7             <unnamed> (17040)                       13                     16.89          pg/mL      50
        H7             <unnamed> (17041)                    814.5                   3502.51          pg/mL      72
        A8             <unnamed> (17042)                       11                   <4.8828          pg/mL      50
        B8             <unnamed> (17043)                      173                    722.96          pg/mL      51
        C8             <unnamed> (17044)                        9                   <4.8828          pg/mL      50
        D8             <unnamed> (17045)                       11                   <4.8828          pg/mL      50
        E8             <unnamed> (17046)                   1036.5                   4651.40          pg/mL      72
        F8             <unnamed> (17047)                       24                     94.05          pg/mL      55
        G8             <unnamed> (17048)                        8                   <4.8828          pg/mL      38
        H8             <unnamed> (17049)                     10.5                   <4.8828          pg/mL      50
        A9             <unnamed> (17050)                       12                   <4.8828          pg/mL      61
        B9             <unnamed> (17051)                     27.5                    113.29          pg/mL      50
        C9             <unnamed> (17052)                       10                   <4.8828          pg/mL      61
        D9             <unnamed> (17053)                       16                     43.27          pg/mL      50
        E9             <unnamed> (17054)                       12                   <4.8828          pg/mL      50
        F9             <unnamed> (17055)                     12.5                     10.67          pg/mL      50
        G9             <unnamed> (17056)                       10                   <4.8828          pg/mL      43
        H9             <unnamed> (17057)                     6606                 125785.62          pg/mL      82
        A10            <unnamed> (17058)                       10                   <4.8828          pg/mL       9
        B10            <unnamed> (17059)                       11                   <4.8828          pg/mL      19
        C10            <unnamed> (17060)                     13.5                     22.16          pg/mL      50
        D10            <unnamed> (17061)                    322.5                   1315.18          pg/mL      36
        E10            <unnamed> (17062)                     11.5                   <4.8828          pg/mL      32
        F10            <unnamed> (17063)                        5                   <4.8828          pg/mL      10
        G10            <unnamed> (17064)                       11                   <4.8828          pg/mL       3
        H10            <unnamed> (17065)                       10                   <4.8828          pg/mL       5
        A11            <unnamed> (17066)                        8                   <4.8828          pg/mL      41
        B11            <unnamed> (17067)                        8                   <4.8828          pg/mL      43
        C11            <unnamed> (17068)                        6                   <4.8828          pg/mL      28
        D11            <unnamed> (17069)                        9                   <4.8828          pg/mL      53
        E11            <unnamed> (17070)                       11                   <4.8828          pg/mL      57
        F11            <unnamed> (17071)                        5                   <4.8828          pg/mL      11
        G11            <unnamed> (17072)                        6                   <4.8828          pg/mL      49
        H11            <unnamed> (17073)                      165                    691.51          pg/mL      85
        A12            <unnamed> (17074)                       11                   <4.8828          pg/mL      19
        B12            <unnamed> (17075)                     34.5                    149.21          pg/mL      74
     Virtual Plate                                 Page - 25 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        C12            <unnamed> (17076)                      6.5                   <4.8828          pg/mL       8
        D12            <unnamed> (17077)                       13                     16.89          pg/mL      50
        E12            <unnamed> (17078)                       65                    287.86          pg/mL      18
        F12            <unnamed> (17079)                        5                   <4.8828          pg/mL      32
        G12            <unnamed> (17080)                      7.5                   <4.8828          pg/mL      16
        H12            <unnamed> (17081)                        7                   <4.8828          pg/mL      52
        A13            <unnamed> (17082)                        6                   <4.8828          pg/mL      53
        B13            <unnamed> (17083)                     12.5                     10.67          pg/mL      38
        C13            <unnamed> (17084)                      9.5                   <4.8828          pg/mL      50
        D13            <unnamed> (17085)                        8                   <4.8828          pg/mL      50
        E13            <unnamed> (17086)                        7                   <4.8828          pg/mL      31
        F13            <unnamed> (17087)                        9                   <4.8828          pg/mL      20
        G13            <unnamed> (17088)                       11                   <4.8828          pg/mL      37
        H13            <unnamed> (17089)                     3228                  24233.25          pg/mL     168
        A14            <unnamed> (17090)                        6                   <4.8828          pg/mL      50
        B14            <unnamed> (17091)                        4                   <4.8828          pg/mL      22
        C14            <unnamed> (17092)                        8                   <4.8828          pg/mL      50
        D14            <unnamed> (17093)                      200                    828.99          pg/mL      91
        E14            <unnamed> (17094)                        5                   <4.8828          pg/mL      50
        F14            <unnamed> (17095)                        4                   <4.8828          pg/mL      48
        G14            <unnamed> (17096)                        4                   <4.8828          pg/mL      36
        H14            <unnamed> (17097)                        8                   <4.8828          pg/mL      50
        A15            <unnamed> (17098)                      7.5                   <4.8828          pg/mL      50
        B15            <unnamed> (17099)                      5.5                   <4.8828          pg/mL      36
        C15            <unnamed> (17100)                        7                   <4.8828          pg/mL      54
        D15            <unnamed> (17101)                        7                   <4.8828          pg/mL      34
        E15            <unnamed> (17102)                        6                   <4.8828          pg/mL      37
        F15            <unnamed> (17103)                        7                   <4.8828          pg/mL      36
        G15            <unnamed> (17104)                        4                   <4.8828          pg/mL      44
        H15            <unnamed> (17105)                      209                    864.35          pg/mL      56
        A16            <unnamed> (17106)                        6                   <4.8828          pg/mL      66
        B16            <unnamed> (17107)                       45                    199.26          pg/mL      65
        C16            <unnamed> (17108)                        6                   <4.8828          pg/mL      50
        D16            <unnamed> (17109)                        7                   <4.8828          pg/mL      88
        E16            <unnamed> (17110)                     19.5                     67.19          pg/mL      20
        F16            <unnamed> (17111)                       10                   <4.8828          pg/mL      76
        G16            <unnamed> (17112)                      8.5                   <4.8828          pg/mL      50
        H16            <unnamed> (17113)                        6                   <4.8828          pg/mL      50
        A17            <unnamed> (17114)                        7                   <4.8828          pg/mL      83
        B17            <unnamed> (17115)                       12                   <4.8828          pg/mL      82
        C17            <unnamed> (17116)                        9                   <4.8828          pg/mL      23
        D17            <unnamed> (17117)                        8                   <4.8828          pg/mL      50
        E17            <unnamed> (17118)                        6                   <4.8828          pg/mL      33
        F17            <unnamed> (17119)                        9                   <4.8828          pg/mL      50
        G17            <unnamed> (17120)                        7                   <4.8828          pg/mL      78
        H17            <unnamed> (17121)                   4616.5                  49659.96          pg/mL     228
     Virtual Plate                                 Page - 26 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
                                                  Analyte Name: IL-4                                  Background:
                                                                                                 20.8333333333333
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                     8976                   6347.71          pg/mL      62
        B1             <unnamed> (16990)                     8797                   3800.34          pg/mL      60
        C1             <unnamed> (16991)                     5288                   1235.08          pg/mL      57
        D1             <unnamed> (16992)                     1620                    314.96          pg/mL      59
        E1             <unnamed> (16993)                    274.5                     39.54          pg/mL      50
        F1             <unnamed> (16994)                       66                      5.65          pg/mL      57
        G1             <unnamed> (16995)                     34.5                      1.47          pg/mL      56
        H1             <unnamed> (16996)                       24                      0.28          pg/mL      54
        A2             <unnamed> (16997)                     9374                >2000.0000          pg/mL      65
        B2             <unnamed> (16998)                     9091                >2000.0000          pg/mL      70
        C2             <unnamed> (16999)                   4784.5                   1093.28          pg/mL      50
        D2             <unnamed> (17000)                     1787                    352.29          pg/mL      51
        E2             <unnamed> (17001)                      323                     48.16          pg/mL      66
        F2             <unnamed> (17002)                       85                      8.40          pg/mL      68
        G2             <unnamed> (17003)                       29                      0.82          pg/mL      57
        H2             <unnamed> (17004)                     20.5                   <4.8828          pg/mL      60
        A3             <unnamed> (17005)                   8574.5                   3112.77          pg/mL      56
        B3             <unnamed> (17006)                     9003                  15557.26          pg/mL      51
        C3             <unnamed> (17007)                     5866                   1409.95          pg/mL      50
        D3             <unnamed> (17008)                     1821                    359.94          pg/mL      61
        E3             <unnamed> (17009)                      323                     48.16          pg/mL      74
        F3             <unnamed> (17010)                       78                      7.37          pg/mL      57
        G3             <unnamed> (17011)                       36                      1.65          pg/mL      73
        H3             <unnamed> (17012)                       18                   <4.8828          pg/mL      56
        A4             <unnamed> (17013)                       64                      0.00          pg/mL      66
        B4             <unnamed> (17014)                     46.5                      0.00          pg/mL      68
        C4             <unnamed> (17015)                       26                      0.00          pg/mL      51
        D4             <unnamed> (17016)                     24.5                      0.00          pg/mL      52
        E4             <unnamed> (17017)                   1060.5                    193.85          pg/mL      66
        F4             <unnamed> (17018)                     1278                    240.13          pg/mL      59
        G4             <unnamed> (17019)                    840.5                    148.28          pg/mL      56
        H4             <unnamed> (17020)                     1139                    210.42          pg/mL      57
        A5             <unnamed> (17021)                   6972.5                   1811.10          pg/mL      50
        B5             <unnamed> (17022)                     6637                   1676.06          pg/mL      60
        C5             <unnamed> (17023)                   6018.5                   1459.00          pg/mL      50
        D5             <unnamed> (17024)                     6591                   1658.68          pg/mL      55
        E5             <unnamed> (17025)                       17                   <4.8828          pg/mL     190
        A6             <unnamed> (17026)                       22                      0.46          pg/mL      73
        B6             <unnamed> (17027)                       30                      4.69          pg/mL     111
        C6             <unnamed> (17028)                    111.5                     62.00          pg/mL      66
        D6             <unnamed> (17029)                      353                    267.88          pg/mL      81
        E6             <unnamed> (17030)                       21                      0.05          pg/mL     205
        F6             <unnamed> (17031)                       25                      1.93          pg/mL     321
        G6             <unnamed> (17032)                       20                   <4.8828          pg/mL      50
        H6             <unnamed> (17033)                       23                      0.92          pg/mL     211
     Virtual Plate                                 Page - 27 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A7             <unnamed> (17034)                       21                      0.05          pg/mL     138
        B7             <unnamed> (17035)                       24                      1.41          pg/mL     106
        C7             <unnamed> (17036)                      121                     69.37          pg/mL     117
        D7             <unnamed> (17037)                       21                      0.05          pg/mL      97
        E7             <unnamed> (17038)                      106                     57.78          pg/mL      97
        F7             <unnamed> (17039)                       19                   <4.8828          pg/mL      50
        G7             <unnamed> (17040)                       18                   <4.8828          pg/mL      59
        H7             <unnamed> (17041)                   2137.5                   2160.53          pg/mL      50
        A8             <unnamed> (17042)                       39                     10.13          pg/mL     152
        B8             <unnamed> (17043)                      264                    188.49          pg/mL      55
        C8             <unnamed> (17044)                     39.5                     10.44          pg/mL      76
        D8             <unnamed> (17045)                     17.5                   <4.8828          pg/mL      64
        E8             <unnamed> (17046)                     2004                   2007.40          pg/mL      72
        F8             <unnamed> (17047)                       20                   <4.8828          pg/mL      60
        G8             <unnamed> (17048)                       25                      1.93          pg/mL     290
        H8             <unnamed> (17049)                       28                      3.55          pg/mL     104
        A9             <unnamed> (17050)                       66                     28.27          pg/mL      78
        B9             <unnamed> (17051)                      227                    156.49          pg/mL      63
        C9             <unnamed> (17052)                       64                     26.86          pg/mL      61
        D9             <unnamed> (17053)                       36                      8.26          pg/mL     203
        E9             <unnamed> (17054)                     22.5                      0.69          pg/mL      88
        F9             <unnamed> (17055)                     16.5                   <4.8828          pg/mL      64
        G9             <unnamed> (17056)                       34                      7.05          pg/mL     189
        H9             <unnamed> (17057)                     4960                   5709.06          pg/mL     107
        A10            <unnamed> (17058)                       19                   <4.8828          pg/mL     282
        B10            <unnamed> (17059)                       21                      0.05          pg/mL     271
        C10            <unnamed> (17060)                       25                      1.93          pg/mL      59
        D10            <unnamed> (17061)                      412                    322.08          pg/mL     343
        E10            <unnamed> (17062)                       19                   <4.8828          pg/mL     322
        F10            <unnamed> (17063)                       29                      4.11          pg/mL     305
        G10            <unnamed> (17064)                       18                   <4.8828          pg/mL     258
        H10            <unnamed> (17065)                       19                   <4.8828          pg/mL     190
        A11            <unnamed> (17066)                       18                   <4.8828          pg/mL     289
        B11            <unnamed> (17067)                       20                   <4.8828          pg/mL     240
        C11            <unnamed> (17068)                       60                     24.08          pg/mL     247
        D11            <unnamed> (17069)                       13                   <4.8828          pg/mL     177
        E11            <unnamed> (17070)                       82                     39.79          pg/mL     319
        F11            <unnamed> (17071)                       18                   <4.8828          pg/mL     322
        G11            <unnamed> (17072)                       15                   <4.8828          pg/mL     220
        H11            <unnamed> (17073)                   1287.5                   1210.90          pg/mL     218
        A12            <unnamed> (17074)                       24                      1.41          pg/mL     212
        B12            <unnamed> (17075)                      182                    118.57          pg/mL     290
        C12            <unnamed> (17076)                     50.5                     17.60          pg/mL     236
        D12            <unnamed> (17077)                       37                      8.88          pg/mL      87
        E12            <unnamed> (17078)                      485                    390.59          pg/mL     280
        F12            <unnamed> (17079)                       17                   <4.8828          pg/mL     322
        G12            <unnamed> (17080)                       25                      1.93          pg/mL     267
        H12            <unnamed> (17081)                       26                      2.46          pg/mL     165
     Virtual Plate                                 Page - 28 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A13            <unnamed> (17082)                      995                    900.71          pg/mL     177
        B13            <unnamed> (17083)                      188                    123.55          pg/mL     196
        C13            <unnamed> (17084)                    129.5                     76.04          pg/mL      64
        D13            <unnamed> (17085)                       28                      3.55          pg/mL     332
        E13            <unnamed> (17086)                       19                   <4.8828          pg/mL     263
        F13            <unnamed> (17087)                       18                   <4.8828          pg/mL     298
        G13            <unnamed> (17088)                       86                     42.73          pg/mL     317
        H13            <unnamed> (17089)                   4874.5                   5590.30          pg/mL     158
        A14            <unnamed> (17090)                       17                   <4.8828          pg/mL     184
        B14            <unnamed> (17091)                       16                   <4.8828          pg/mL     297
        C14            <unnamed> (17092)                       19                   <4.8828          pg/mL     271
        D14            <unnamed> (17093)                      323                    240.78          pg/mL     135
        E14            <unnamed> (17094)                       14                   <4.8828          pg/mL     219
        F14            <unnamed> (17095)                       23                      0.92          pg/mL     307
        G14            <unnamed> (17096)                       19                   <4.8828          pg/mL     202
        H14            <unnamed> (17097)                       20                   <4.8828          pg/mL     150
        A15            <unnamed> (17098)                       18                   <4.8828          pg/mL     132
        B15            <unnamed> (17099)                       24                      1.41          pg/mL     282
        C15            <unnamed> (17100)                       41                     11.39          pg/mL     171
        D15            <unnamed> (17101)                       19                   <4.8828          pg/mL     322
        E15            <unnamed> (17102)                       63                     26.16          pg/mL     187
        F15            <unnamed> (17103)                       16                   <4.8828          pg/mL     230
        G15            <unnamed> (17104)                       17                   <4.8828          pg/mL     207
        H15            <unnamed> (17105)                     1184                   1099.97          pg/mL     218
        A16            <unnamed> (17106)                       28                      3.55          pg/mL     214
        B16            <unnamed> (17107)                      174                    111.96          pg/mL      95
        C16            <unnamed> (17108)                       24                      1.41          pg/mL     193
        D16            <unnamed> (17109)                       15                   <4.8828          pg/mL     175
        E16            <unnamed> (17110)                      171                    109.49          pg/mL     259
        F16            <unnamed> (17111)                     25.5                      2.19          pg/mL      52
        G16            <unnamed> (17112)                       31                      5.27          pg/mL      97
        H16            <unnamed> (17113)                       19                   <4.8828          pg/mL     153
        A17            <unnamed> (17114)                       63                     26.16          pg/mL     169
        B17            <unnamed> (17115)                       79                     37.60          pg/mL      65
        C17            <unnamed> (17116)                    131.5                     77.62          pg/mL     276
        D17            <unnamed> (17117)                       26                      2.46          pg/mL     327
        E17            <unnamed> (17118)                       18                   <4.8828          pg/mL     359
        F17            <unnamed> (17119)                     30.5                      4.97          pg/mL     228
        G17            <unnamed> (17120)                       23                      0.92          pg/mL     100
        H17            <unnamed> (17121)                     4890                   5611.75          pg/mL     357
                                                  Analyte Name: IL-5                                  Background:
                                                                                                 14.6666666666667
       Well                  Sample Name                      MFI             Concentration           Unit   Count
        A1             <unnamed> (16989)                    23270                >2000.0000          pg/mL      62
        B1             <unnamed> (16990)                    20601                   4198.27          pg/mL      63
        C1             <unnamed> (16991)                     7967                   1198.72          pg/mL      59
     Virtual Plate                                 Page - 29 of 41                        2005April13 Xenon cyto.mlx

    12/9/2005                                    Report By Analytes                                       1:06:54 PM
       Well                  Sample Name                      MFI             Concentration           Unit   Count
